item,kind,registry,meta,description,hearts,hearts_vs_undead,hearts_vs_arthropod,attack_hp,base_attack_hp,damage_reduction_pct,armor_points,armor_icons,slot,durability,epf_all,epf_conditional,found in,variants,enchant_level,nbt
Steeleaf Plate,enchanted,TwilightForest:item.steeleafPlate,0,"35.2% damage reduction · 7 armour (3.5 icons), chestplate · +3 EPF vs all damage · enchanted: Protection III",,,,,,35.2,7,3.5,chestplate,320,3,,tftreasure/uncommon,1,,"{ench:[0:{lvl:3s,id:0s}]}"
Steeleaf Shovel,enchanted,TwilightForest:item.steeleafShovel,0,"2 hearts (4 HP) · enchanted: Efficiency IV, Unbreaking II",2.0,2.0,2.0,4.0,4.0,,,,,,,,tftreasure/uncommon,1,,"{ench:[0:{lvl:4s,id:32s},1:{lvl:2s,id:34s}]}"
Steeleaf Sword,enchanted,TwilightForest:item.steeleafSword,0,"6 hearts (12 HP) · enchanted: Sharpness IV, Knockback II",6.0,6.0,6.0,12.0,7.0,,,,,,,,tftreasure/rare,1,,"{ench:[0:{lvl:4s,id:16s},1:{lvl:2s,id:19s}]}"
Steeleaf Sword,enchanted,TwilightForest:item.steeleafSword,0,"3.5 hearts (7 HP) · 9.75 vs arthropods · enchanted: Bane of Arthropods V, Fire Aspect II",3.5,3.5,9.75,7.0,7.0,,,,,,,,tftreasure/rare,1,,"{ench:[0:{lvl:5s,id:18s},1:{lvl:2s,id:20s}]}"
Stick,enchanted,minecraft:stick,0,"named ""Hercales' Club"" · enchanted: Knockback V",,,,,,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:19s,lvl:5s}],display:{Name:""Hercales' Club""}}"
Stone Sword,enchanted,minecraft:stone_sword,0,"2.5 hearts (5 HP) · 3.75 vs undead · named ""Mesopotamian Mace"" · enchanted: Vaporising I, Smite I",2.5,3.75,2.5,5.0,5.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:102s,lvl:1s},1:{id:17s,lvl:1s}],display:{Name:""Mesopotamian Mace""}}"
Stone Sword,enchanted,minecraft:stone_sword,0,"2.5 hearts (5 HP) · named ""Caveman's Club"" · enchanted: Knockback II",2.5,2.5,2.5,5.0,5.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:19s,lvl:2s}],display:{Name:""Caveman's Club""}}"
Stone Sword,enchanted,minecraft:stone_sword,0,"2.5 hearts (5 HP) · named ""Magic Makhaira"" · enchanted: Elder Wisdom I, Reaper I",2.5,2.5,2.5,5.0,5.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:98s,lvl:1s},1:{id:180s,lvl:1s}],display:{Name:""Magic Makhaira""}}"
Stone Sword,enchanted,minecraft:stone_sword,0,"2.5 hearts (5 HP) · 5 vs arthropods · named ""Spider Sica"" · enchanted: Bane of Arthropods II, Knockback I",2.5,2.5,5.0,5.0,5.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:18s,lvl:2s},1:{id:19s,lvl:1s}],display:{Name:""Spider Sica""}}"
Wooden Boots,enchanted,TConstruct:bootsWood,0,"4% damage reduction · 1 armour (0.5 icons), boots · +5 vs projectiles EPF · named ""Wooden Waders"" · enchanted: Projectile Protection II, Unbreaking I",,,,,,4.0,1,0.5,boots,26,0,5 vs projectiles,roguelike/ARMOUR,1,,"{ench:[0:{id:4s,lvl:2s},1:{id:34s,lvl:1s}],display:{Name:""Wooden Waders""}}"
Wooden Chestplate,enchanted,TConstruct:chestplateWood,0,"8% damage reduction · 2 armour (1 icons), chestplate · +5 vs projectiles EPF · named ""Wooden Windbreaker"" · enchanted: Projectile Protection II, Unbreaking I",,,,,,8.0,2,1.0,chestplate,32,0,5 vs projectiles,roguelike/ARMOUR,1,,"{ench:[0:{id:4s,lvl:2s},1:{id:34s,lvl:1s}],display:{Name:""Wooden Windbreaker""}}"
Wooden Helmet,enchanted,TConstruct:helmetWood,0,"4% damage reduction · 1 armour (0.5 icons), helmet · +5 vs projectiles EPF · named ""Wooden Wig"" · enchanted: Projectile Protection II, Unbreaking I",,,,,,4.0,1,0.5,helmet,22,0,5 vs projectiles,roguelike/ARMOUR,1,,"{ench:[0:{id:4s,lvl:2s},1:{id:34s,lvl:1s}],display:{Name:""Wooden Wig""}}"
Wooden Leggings,enchanted,TConstruct:leggingsWood,0,"8% damage reduction · 2 armour (1 icons), leggings · +5 vs projectiles EPF · named ""Wooden Waistcoat"" · enchanted: Projectile Protection II, Unbreaking I",,,,,,8.0,2,1.0,leggings,30,0,5 vs projectiles,roguelike/ARMOUR,1,,"{ench:[0:{id:4s,lvl:2s},1:{id:34s,lvl:1s}],display:{Name:""Wooden Waistcoat""}}"
Wooden Sword,enchanted,minecraft:wooden_sword,0,"3.25 hearts (6.5 HP) · named ""Ancient Acinaces"" · enchanted: Sharpness II, Unbreaking I",3.25,3.25,3.25,6.5,4.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:16s,lvl:2s},1:{id:34s,lvl:1s}],display:{Name:""Ancient Acinaces""}}"
Wooden Sword,enchanted,minecraft:wooden_sword,0,"5.75 hearts (11.5 HP) · named ""Noteworthy Naboot"" · enchanted: Unbreaking III, Sharpness VI",5.75,5.75,5.75,11.5,4.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:34s,lvl:3s},1:{id:16s,lvl:6s}],display:{Name:""Noteworthy Naboot""}}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Fortune I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:35s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Fortune II,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:35s,lvl:2s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Fortune III,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:35s,lvl:3s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Protection I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:0s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Smite II,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:17s,lvl:2s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Knockback I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:19s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Reaper I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:180s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Sharpness I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:16s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Efficiency I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:32s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Eternal Compass I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:197s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Bash Weightless I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:126s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Magic Touched I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:100s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Efficiency II,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:32s,lvl:2s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Lure I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:62s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Aqua Affinity I,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:6s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,"stores: Power III, Silk Touch I",,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:48s,lvl:3s},1:{id:33s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Unbreaking III,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:34s,lvl:3s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Blast Protection III,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:3s,lvl:3s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Knockback II,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:19s,lvl:2s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Elder Wisdom V,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:98s,lvl:5s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Tainted II,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:101s,lvl:2s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Looting III,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:21s,lvl:3s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Sharpness IV,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:16s,lvl:4s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Projectile Protection IV,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:4s,lvl:4s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Educational III,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:70s,lvl:3s}]}"
Enchanted Book,enchanted book,enchanted_book,0,"stores: Bane of Arthropods IV, Power IV, Magic Touched III",,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:18s,lvl:4s},1:{id:48s,lvl:4s},2:{id:100s,lvl:3s}]}"
Enchanted Book,enchanted book,enchanted_book,0,"stores: Bash Power V, Shield Efficiency V",,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:127s,lvl:5s},1:{id:129s,lvl:5s}]}"
Enchanted Book,enchanted book,enchanted_book,0,"stores: Unstable II, Power III, Withering  I",,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:211s,lvl:2s},1:{id:48s,lvl:3s},2:{id:9s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,stores: Sharpness VI,,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:16s,lvl:6s}]}"
Enchanted Book,enchanted book,enchanted_book,0,"stores: Haste III, Auto-Smelt I",,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:153s,lvl:3s},1:{id:46s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,"stores: Elder Wisdom V, Capitalist I · repair cost 1",,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{RepairCost:1,StoredEnchantments:[0:{id:98s,lvl:5s},1:{id:68s,lvl:1s}]}"
Enchanted Book,enchanted book,enchanted_book,0,"stores: Smite V, Fire Aspect II",,,,,,,,,,,,,"roguelike/ENCHANTING, roguelike/TOOLS",1,,"{StoredEnchantments:[0:{id:17s,lvl:5s},1:{id:20s,lvl:2s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Sharpness IV,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:4s,id:16s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Power IV,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:4s,id:48s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Punch II,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:2s,id:49s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Unbreaking II,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:2s,id:34s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Infinity I,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:1s,id:51s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Feather Falling III,,,,,,,,,,,,,"tftreasure/rare, tftreasure/ultrarare",1,,"{StoredEnchantments:[0:{lvl:3s,id:2s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Knockback II,,,,,,,,,,,,,tftreasure/rare,1,,"{StoredEnchantments:[0:{lvl:2s,id:19s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Efficiency III,,,,,,,,,,,,,tftreasure/rare,1,,"{StoredEnchantments:[0:{lvl:3s,id:32s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Bane of Arthropods IV,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:4s,id:18s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Smite IV,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:4s,id:17s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Protection III,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:3s,id:0s}]}"
Enchanted Book,enchanted book,minecraft:enchanted_book,0,stores: Projectile Protection III,,,,,,,,,,,,,tftreasure/ultrarare,1,,"{StoredEnchantments:[0:{lvl:3s,id:4s}]}"
Knowledge Note,knowledge note,HardcoreEnderExpansion:knowledge_note,0,40 knowledge points,,,,,,,,,,,,,"chestgenhooks/dungeonChest, chestgenhooks/mineshaftCorridor, chestgenhooks/pyramidDesertyChest, chestgenhooks/pyramidJungleChest, chestgenhooks/strongholdCorridor, chestgenhooks/strongholdCrossing, chestgenhooks/strongholdLibrary, chestgenhooks/villageBlacksmith",1,,{pts:40b}
Knowledge Note,knowledge note,HardcoreEnderExpansion:knowledge_note,0,30 knowledge points,,,,,,,,,,,,,"chestgenhooks/dungeonChest, chestgenhooks/mineshaftCorridor, chestgenhooks/pyramidDesertyChest, chestgenhooks/pyramidJungleChest, chestgenhooks/strongholdCorridor, chestgenhooks/strongholdCrossing, chestgenhooks/strongholdLibrary, chestgenhooks/villageBlacksmith",1,,{pts:30b}
Knowledge Note,knowledge note,HardcoreEnderExpansion:knowledge_note,0,20 knowledge points,,,,,,,,,,,,,"chestgenhooks/dungeonChest, chestgenhooks/mineshaftCorridor, chestgenhooks/pyramidDesertyChest, chestgenhooks/pyramidJungleChest, chestgenhooks/strongholdCorridor, chestgenhooks/strongholdCrossing, chestgenhooks/strongholdLibrary, chestgenhooks/villageBlacksmith",1,,{pts:20b}
Knowledge Note,knowledge note,HardcoreEnderExpansion:knowledge_note,0,10 knowledge points,,,,,,,,,,,,,"chestgenhooks/dungeonChest, chestgenhooks/mineshaftCorridor, chestgenhooks/pyramidDesertyChest, chestgenhooks/pyramidJungleChest, chestgenhooks/strongholdCorridor, chestgenhooks/strongholdCrossing, chestgenhooks/strongholdLibrary, chestgenhooks/villageBlacksmith",1,,{pts:10b}
Basic Circuit Board,other,Forestry:chipsets,0,chipset tier 0,,,,,,,,,,,,,chestgenhooks/chest4,1,,{T:0s}
Coal Jetpack,other,adventurebackpack:coalJetpack,0,jetpackData: empty (populated on use),,,,,,,,,,,,,chestgenhooks/chest4,1,,{jetpackData:{}}
Copter Pack,other,adventurebackpack:copterPack,0,(nothing in the NBT to show),,,,,,,,,,,,,chestgenhooks/chest4,1,,{}
Copter Pack,other,adventurebackpack:copterPack,0,wearableData: empty (populated on use),,,,,,,,,,,,,roguelike/REWARD,1,,{wearableData:{}}
Enhanced Circuit Board,other,Forestry:chipsets,1,chipset tier 1,,,,,,,,,,,,,chestgenhooks/chest4,1,,{T:1s}
Farm Block,other,Forestry:ffarm,0,farm block type 0,,,,,,,,,,,,,chestgenhooks/chest3,1,,{FarmBlock:0}
Farm Control,other,Forestry:ffarm,5,farm block type 0,,,,,,,,,,,,,chestgenhooks/chest3,1,,{FarmBlock:0}
Farm Gearbox,other,Forestry:ffarm,2,farm block type 0,,,,,,,,,,,,,chestgenhooks/chest3,1,,{FarmBlock:0}
Farm Hatch,other,Forestry:ffarm,3,farm block type 0,,,,,,,,,,,,,chestgenhooks/chest3,1,,{FarmBlock:0}
Farm Valve,other,Forestry:ffarm,4,farm block type 0,,,,,,,,,,,,,chestgenhooks/chest3,1,,{FarmBlock:0}
H.S. Booster Track,other,Railcraft:track,0,track type railcraft:track.speed.boost,,,,,,,,,,,,,chestgenhooks/chest2,1,,"{track:""railcraft:track.speed.boost""}"
H.S. Track,other,Railcraft:track,816,track type railcraft:track.speed,,,,,,,,,,,,,chestgenhooks/chest2,1,,"{track:""railcraft:track.speed""}"
H.S. Transition Track,other,Railcraft:track,26865,track type railcraft:track.speed.transition,,,,,,,,,,,,,chestgenhooks/chest2,1,,"{track:""railcraft:track.speed.transition""}"
Intricate Circuit Board,other,Forestry:chipsets,3,chipset tier 3,,,,,,,,,,,,,chestgenhooks/chest4,1,,{T:3s}
Leather Cap,other,minecraft:leather_helmet,0,"4% damage reduction · 1 armour (0.5 icons), helmet · named ""Fedora""",,,,,,4.0,1,0.5,helmet,55,0,,roguelike/ARMOUR,1,,"{display:{color:12553267,Name:""Fedora""}}"
Leather Pants,other,minecraft:leather_leggings,0,"8% damage reduction · 2 armour (1 icons), leggings · named ""pant""",,,,,,8.0,2,1.0,leggings,75,0,,roguelike/ARMOUR,1,,"{display:{color:10057608,Name:""pant""}}"
Leather Tunic,other,minecraft:leather_chestplate,0,"12% damage reduction · 3 armour (1.5 icons), chestplate · named ""Oxford Button Down Shirt""",,,,,,12.0,3,1.5,chestplate,80,0,,roguelike/ARMOUR,1,,"{display:{color:11328472,Name:""Oxford Button Down Shirt""}}"
Refined Circuit Board,other,Forestry:chipsets,2,chipset tier 2,,,,,,,,,,,,,chestgenhooks/chest4,1,,{T:2s}
Reinforced Track,other,Railcraft:track,0,track type railcraft:track.reinforced,,,,,,,,,,,,,chestgenhooks/chest2,1,,"{track:""railcraft:track.reinforced""}"
Unlit Dyed Candle,other,Forestry:candle,0,colour #FFFFFF,,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,{colour:16777215}
Vis Stone,vis amulet,Thaumcraft:ItemAmuletVis,0,"vis: aqua 200, ignis 400, terra 300, ordo 400",,,,,,,,,,,,,"chestgenhooks/dungeonChest, chestgenhooks/mineshaftCorridor, chestgenhooks/pyramidDesertyChest, chestgenhooks/pyramidJungleChest, chestgenhooks/strongholdCorridor, chestgenhooks/strongholdCrossing, chestgenhooks/strongholdLibrary",1,,"{aer:0,perditio:0,aqua:200,ignis:400,terra:300,ordo:400}"
Vis Stone,vis amulet,Thaumcraft:ItemAmuletVis,0,"vis: aer 400, aqua 100, ignis 300, terra 100, ordo 200, perditio 200",,,,,,,,,,,,,"chestgenhooks/dungeonChest, chestgenhooks/mineshaftCorridor, chestgenhooks/pyramidDesertyChest, chestgenhooks/pyramidJungleChest, chestgenhooks/strongholdCorridor, chestgenhooks/strongholdCrossing, chestgenhooks/strongholdLibrary",1,,"{aer:400,perditio:200,ignis:300,terra:100,aqua:100,ordo:200}"
